______________________________
|          t |            Vy |
|------------+---------------|
|   0.000000 | -1.706176e-06 |
|   0.001050 | -2.386259e-05 |
|   0.002100 |  9.530700e-06 |
|   0.003150 |  5.680507e-06 |
|   0.004200 |  1.292596e-05 |
|   0.005250 |  1.874563e-05 |
|   0.006300 | -5.022613e-06 |
|   0.007350 |  1.059527e-05 |
|   0.008400 | -1.396734e-06 |
|   0.009450 |  6.153770e-06 |
|   0.010500 | -1.552063e-05 |
|   0.011550 |  9.419829e-06 |
|   0.012600 | -2.805663e-06 |
|   0.013650 |  1.323738e-05 |
|   0.014700 | -4.741777e-06 |
|   0.015750 | -2.466299e-05 |
|   0.016800 | -4.018172e-06 |
|   0.017850 |  7.097065e-06 |
|   0.018900 |  2.234709e-05 |
|   0.019950 |  7.924847e-06 |
|   0.021000 | -6.713745e-07 |
|   0.022050 |  1.853261e-05 |
|   0.023100 |  6.115622e-06 |
|   0.024150 | -1.276169e-06 |
|   0.025200 |  1.068866e-05 |
|   0.026250 |  8.987335e-06 |
|   0.027300 | -2.403886e-05 |
|   0.028350 |  7.607074e-07 |
|   0.029400 |  8.524719e-06 |
|   0.030450 | -1.313643e-05 |
|   0.031500 | -1.155352e-06 |
|   0.032550 |  1.420666e-05 |
|   0.033600 |  2.938605e-06 |
|   0.034650 |  8.868065e-06 |
|   0.035700 |  1.320724e-05 |
|   0.036750 | -4.830862e-06 |
|   0.037800 | -9.293843e-06 |
|   0.038850 | -4.260451e-06 |
|   0.039900 | -1.570395e-05 |
|   0.040950 |  1.633299e-05 |
|   0.042000 |  4.174883e-05 |
|   0.043050 | -4.827498e-06 |
|   0.044100 | -2.573032e-06 |
|   0.045150 |  2.009803e-05 |
|   0.046200 |  7.868573e-06 |
|   0.047250 |  1.091363e-05 |
|   0.048300 | -1.196553e-05 |
|   0.049350 | -7.156943e-06 |
|   0.050401 | -4.331683e-06 |
|   0.051451 | -3.526759e-06 |
|   0.052501 |  3.565840e-06 |
|   0.053551 | -1.987232e-06 |
|   0.054601 | -7.714812e-06 |
|   0.055651 |  2.036828e-05 |
|   0.056701 |  1.638999e-05 |
|   0.057751 |  3.743572e-06 |
|   0.058801 | -2.912161e-06 |
|   0.059851 | -1.540504e-06 |
|   0.060901 | -7.465802e-06 |
|   0.061951 | -2.948096e-06 |
|   0.063001 |  4.820060e-07 |
|   0.064051 | -3.763223e-06 |
|   0.065101 | -1.356148e-05 |
|   0.066151 |  3.822866e-06 |
|   0.067201 | -8.751140e-06 |
|   0.068251 |  1.205780e-05 |
|   0.069301 |  9.371564e-06 |
|   0.070351 | -4.306909e-06 |
|   0.071401 | -1.033985e-05 |
|   0.072451 |  1.312150e-05 |
|   0.073501 |  9.316025e-06 |
|   0.074551 |  1.181506e-05 |
|   0.075601 | -1.431484e-05 |
|   0.076651 | -1.563376e-05 |
|   0.077701 | -1.208774e-07 |
|   0.078751 |  3.859387e-06 |
|   0.079801 | -1.579579e-05 |
|   0.080851 |  9.630734e-07 |
|   0.081901 | -4.469771e-06 |
|   0.082951 | -8.981072e-06 |
|   0.084001 | -1.991557e-06 |
|   0.085051 | -6.782387e-06 |
|   0.086101 | -1.279034e-05 |
|   0.087151 |  5.821936e-06 |
|   0.088201 |  6.495119e-06 |
|   0.089251 |  7.633008e-06 |
|   0.090301 |  1.827724e-06 |
|   0.091351 |  7.978166e-06 |
|   0.092401 |  2.869757e-05 |
|   0.093451 | -9.521622e-06 |
|   0.094501 | -2.162743e-05 |
